C101,10,8273,1,
C102,10,8273,1,
C103,10,8263,1,
C104,10,8229,1,
C105,10,8273,1,
C106,10,8273,1,
C107,10,8273,1,
C108,10,8273,1,
C109,10,8273,1,
C1_10_1,100,424448,0,
C1_10_10,91,398745,0,
C1_10_2,96,413927,0,
C1_10_3,91,401462,0,
C1_10_4,90,394909,0,
C1_10_5,100,424348,0,
C1_10_6,100,424370,0,
C1_10_7,100,424204,0,
C1_10_8,97,418378,0,
C1_10_9,92,403667,0,
C1_2_1,20,26986,1,
C1_2_10,19,26247,1,
C1_2_2,20,26943,1,
C1_2_3,20,26758,1,
C1_2_4,19,26256,1,
C1_2_5,20,26949,1,
C1_2_6,20,26949,1,
C1_2_7,20,26949,1,
C1_2_8,20,26840,1,
C1_2_9,19,26396,1,
C1_4_1,40,71388,1,
C1_4_10,37,68254,1,
C1_4_2,40,71133,1,
C1_4_3,38,69299,1,
C1_4_4,37,67777,1,
C1_4_5,40,71388,1,
C1_4_6,40,71401,1,
C1_4_7,40,71362,1,
C1_4_8,39,70830,1,
C1_4_9,37,69278,1,
C1_6_1,60,140766,0,
C1_6_10,56,136365,0,
C1_6_2,58,139483,0,
C1_6_3,57,137570,0,
C1_6_4,56,135722,0,
C1_6_5,60,140668,0,
C1_6_6,60,140709,0,
C1_6_7,60,140668,0,
C1_6_8,58,139912,0,
C1_6_9,57,137015,0,
C1_8_1,80,251569,0,
C1_8_10,73,240304,0,
C1_8_2,78,249741,0,
C1_8_3,74,241989,0,
C1_8_4,73,238127,0,
C1_8_5,80,251386,0,
C1_8_6,80,251333,0,
C1_8_7,80,251273,0,
C1_8_8,78,248825,0,
C1_8_9,74,242004,0,
C201,3,5891,1,
C202,3,5891,1,
C203,3,5887,1,
C204,3,5881,1,
C205,3,5864,1,
C206,3,5860,1,
C207,3,5858,1,
C208,3,5858,1,
C2_10_1,30,168411,0,
C2_10_10,30,157286,0,
C2_10_2,30,164626,0,
C2_10_3,30,160365,0,
C2_10_4,30,154829,0,
C2_10_5,30,165213,0,
C2_10_6,30,162907,0,
C2_10_7,30,163784,0,
C2_10_8,30,160291,0,
C2_10_9,30,160770,0,
C2_2_1,7,19221,1,
C2_2_10,7,17912,1,
C2_2_2,7,18514,1,
C2_2_3,7,17634,1,
C2_2_4,7,16950,0,
C2_2_5,7,18696,1,
C2_2_6,7,18448,1,
C2_2_7,6,18422,1,
C2_2_8,6,18137,1,
C2_2_9,7,18150,1,
C2_4_1,12,41003,1,
C2_4_10,12,36651,1,
C2_4_2,12,39141,1,
C2_4_3,12,37552,0,
C2_4_4,12,35237,0,
C2_4_5,12,39232,1,
C2_4_6,12,38601,1,
C2_4_7,12,38709,1,
C2_4_8,12,37737,1,
C2_4_9,13,38421,0,
C2_6_1,18,77522,0,
C2_6_10,18,71239,0,
C2_6_2,18,74715,0,
C2_6_3,18,72150,0,
C2_6_4,18,68778,0,
C2_6_5,18,75538,0,
C2_6_6,18,74498,0,
C2_6_7,18,74914,0,
C2_6_8,18,73037,0,
C2_6_9,18,73032,0,
C2_8_1,24,116319,0,
C2_8_10,24,109460,0,
C2_8_2,24,113945,0,
C2_8_3,24,111381,0,
C2_8_4,24,106828,0,
C2_8_5,24,113956,0,
C2_8_6,24,113163,0,
C2_8_7,24,113329,0,
C2_8_8,24,111339,0,
C2_8_9,24,111404,0,
R101,20,16377,1,
R102,18,14666,1,
R103,14,12087,1,
R104,11,9715,1,
R105,15,13553,1,
R106,13,12346,1,
R107,11,10646,1,
R108,10,9321,1,
R109,13,11469,1,
R110,12,10680,1,
R111,12,10487,1,
R112,10,9489,1,
R1_10_1,96,532339,0,
R1_10_10,92,475706,0,
R1_10_2,93,483691,0,
R1_10_3,92,448624,0,
R1_10_4,92,425779,0,
R1_10_5,92,504878,0,
R1_10_6,92,471458,0,
R1_10_7,92,442314,0,
R1_10_8,91,424359,0,
R1_10_9,92,493343,0,
R1_2_1,23,46672,1,
R1_2_10,18,32931,1,
R1_2_2,20,39199,1,
R1_2_3,18,33739,1,
R1_2_4,18,30476,1,
R1_2_5,20,40532,1,
R1_2_6,19,35591,1,
R1_2_7,18,31419,1,
R1_2_8,18,29384,1,
R1_2_9,19,37347,1,
